Shipper ID,Tracking ID,Origin Hub Name,Dest Hub Name,Count
11398224,26062603190507YMXN8GUVV-01,MAC-MAC,MAC-SRN,1
11398224,26062603190507YMXN8GUVV-DO,MAC-MAC,MAC-KD5,1
11398224,26062703330435ZEOQPNQXD-01,SUB-SUB,SUB-TBN,1
11398224,26062703330435ZEOQPNQXD-DO,SUB-TBN,SUB-NWE,1
11398224,260627034930835DQEGRJA-01,MAC-MAC,MAC-JPK,1
11398224,260627034930835DQEGRJA-DO,MAC-MAC,MAC-KD5,1
11398224,26062704071581YXHPTZZL8-01,SUB-SUB,SRG-SLT,1
11398224,26062704071581YXHPTZZL8-DO,SRG-SLT,SUB-NWE,1
11398224,26062704080884B1KPET-01,MAC-MAC,BDO-CMS,1
11398224,26062704080884B1KPET-02,MAC-MAC,BDO-CMS,1
11398224,26062704080884B1KPET-DO,BDO-BDO,MAC-KD5,1
11398224,26062704500140K6ZQFQJG5-01,MAC-MAC,BDO-SKI,1
11398224,26062704500140K6ZQFQJG5-DO,BDO-BDO,MAC-KD5,1
11398224,26062704500140RZR74TTKY-01,MAC-MAC,BDO-SKI,1
11398224,26062704500140RZR74TTKY-DO,BDO-BDO,MAC-KD5,1
11398224,26062704583289GSRTVYYCC0-01,MAC-MAC,CBN-MJL,1
11398224,26062704583289GSRTVYYCC0-DO,CBN-MJL,MAC-KD5,1
11398224,26062704583289VODDMVQLO-01,MAC-MAC,CBN-MJL,1
11398224,26062704583289VODDMVQLO-DO,CBN-MJL,MAC-KD5,1
11398224,26062705013144QWB5VNPW-01,SUB-SUB,SOC-NGW,1
11398224,26062705013144QWB5VNPW-DO,SOC-SOC,SUB-NWE,1
11398224,26062705122191L0OBCL7E4-01,SUB-SUB,CBN-TGL,1
11398224,26062705122191L0OBCL7E4-DO,CBN-CBN,SUB-NWE,1
11398224,26062705122191WOTDXDEFJ7-01,SUB-SUB,CBN-TGL,1
11398224,26062705122191WOTDXDEFJ7-DO,CBN-CBN,SUB-NWE,1
11398224,26062705282542PFG7OXOQ-01,SUB-SUB,SOC-NGW,1
11398224,26062705282542PFG7OXOQ-02,SUB-SUB,SOC-NGW,1
